"User ID",Name,Date,Day,Check-In,Check-Out,"Work Hours","All Punches",Status
13,Unknown,04-Dec-2025,Thursday,"09:28 AM",,,09:28:21,"Missing Out-Punch"
13,Unknown,10-Dec-2025,Wednesday,"02:30 PM",,,14:30:11,"Missing Out-Punch"
13,Unknown,13-Dec-2025,Saturday,"09:17 AM",,,09:17:32,"Missing Out-Punch"
13,Unknown,20-Dec-2025,Saturday,"05:15 PM",,,17:15:13,"Missing Out-Punch"
131,Unknown,04-Dec-2025,Thursday,"09:30 AM","01:01 PM",03:31,"09:30:14, 13:01:31",Present
131,Unknown,10-Dec-2025,Wednesday,"09:47 AM","01:04 PM",03:17,"09:47:41, 13:04:44",Present
131,Unknown,13-Dec-2025,Saturday,"09:30 AM",,,09:30:44,"Missing Out-Punch"
131,Unknown,16-Dec-2025,Tuesday,"01:00 PM",,,13:00:54,"Missing Out-Punch"
110,Unknown,04-Dec-2025,Thursday,"09:46 AM",,,09:46:15,"Missing Out-Punch"
110,Unknown,08-Dec-2025,Monday,"09:04 AM",,,09:04:06,"Missing Out-Punch"
110,Unknown,20-Dec-2025,Saturday,"02:49 PM","06:13 PM",03:23,"14:49:43, 18:13:33",Present
32,Unknown,04-Dec-2025,Thursday,"10:03 AM",,,10:03:50,"Missing Out-Punch"
32,Unknown,06-Dec-2025,Saturday,"04:13 PM",,,16:13:08,"Missing Out-Punch"
32,Unknown,10-Dec-2025,Wednesday,"02:08 PM",,,14:08:40,"Missing Out-Punch"
32,Unknown,12-Dec-2025,Friday,"05:24 PM",,,17:24:06,"Missing Out-Punch"
32,Unknown,16-Dec-2025,Tuesday,"02:29 PM",,,14:29:03,"Missing Out-Punch"
32,Unknown,18-Dec-2025,Thursday,"05:20 PM",,,17:20:02,"Missing Out-Punch"
32,Unknown,20-Dec-2025,Saturday,"05:39 PM",,,17:39:55,"Missing Out-Punch"
108,Unknown,04-Dec-2025,Thursday,"11:20 AM",,,11:20:33,"Missing Out-Punch"
108,Unknown,16-Dec-2025,Tuesday,"10:32 AM",,,10:32:10,"Missing Out-Punch"
64,Unknown,04-Dec-2025,Thursday,"11:21 AM",,,11:21:14,"Missing Out-Punch"
64,Unknown,06-Dec-2025,Saturday,"04:12 PM",,,16:12:15,"Missing Out-Punch"
64,Unknown,10-Dec-2025,Wednesday,"10:08 AM",,,10:08:41,"Missing Out-Punch"
64,Unknown,12-Dec-2025,Friday,"05:20 PM",,,17:20:48,"Missing Out-Punch"
64,Unknown,18-Dec-2025,Thursday,"05:20 PM",,,17:20:10,"Missing Out-Punch"
64,Unknown,20-Dec-2025,Saturday,"05:10 PM",,,17:10:05,"Missing Out-Punch"
126,Unknown,04-Dec-2025,Thursday,"01:01 PM",,,13:01:36,"Missing Out-Punch"
126,Unknown,10-Dec-2025,Wednesday,"09:47 AM","01:02 PM",03:14,"09:47:46, 13:02:08",Present
126,Unknown,16-Dec-2025,Tuesday,"01:03 PM",,,13:03:41,"Missing Out-Punch"
8,Unknown,04-Dec-2025,Thursday,"01:02 PM",,,13:02:22,"Missing Out-Punch"
8,Unknown,10-Dec-2025,Wednesday,"12:46 PM",,,12:46:43,"Missing Out-Punch"
8,Unknown,12-Dec-2025,Friday,"05:19 PM",,,17:19:25,"Missing Out-Punch"
8,Unknown,16-Dec-2025,Tuesday,"01:07 PM",,,13:07:12,"Missing Out-Punch"
8,Unknown,18-Dec-2025,Thursday,"01:13 PM",,,13:13:07,"Missing Out-Punch"
8,Unknown,20-Dec-2025,Saturday,"05:17 PM",,,17:17:42,"Missing Out-Punch"
134,Unknown,04-Dec-2025,Thursday,"01:03 PM",,,13:03:28,"Missing Out-Punch"
134,Unknown,10-Dec-2025,Wednesday,"09:27 AM","01:00 PM",03:32,"09:27:37, 13:00:08",Present
134,Unknown,16-Dec-2025,Tuesday,"09:38 AM","01:03 PM",03:24,"09:38:40, 13:03:02",Present
134,Unknown,18-Dec-2025,Thursday,"01:04 PM",,,13:04:32,"Missing Out-Punch"
135,Unknown,04-Dec-2025,Thursday,"01:03 PM",,,13:03:36,"Missing Out-Punch"
135,Unknown,16-Dec-2025,Tuesday,"09:38 AM","01:03 PM",03:24,"09:38:56, 13:03:18",Present
135,Unknown,18-Dec-2025,Thursday,"01:04 PM",,,13:04:03,"Missing Out-Punch"
100,Unknown,04-Dec-2025,Thursday,"01:12 PM",,,13:12:57,"Missing Out-Punch"
100,Unknown,06-Dec-2025,Saturday,"01:15 PM","04:13 PM",02:57,"13:15:09, 16:13:04",Present
100,Unknown,10-Dec-2025,Wednesday,"11:12 AM",,,11:12:05,"Missing Out-Punch"
100,Unknown,12-Dec-2025,Friday,"05:23 PM",,,17:23:59,"Missing Out-Punch"
100,Unknown,16-Dec-2025,Tuesday,"01:20 PM",,,13:20:21,"Missing Out-Punch"
100,Unknown,18-Dec-2025,Thursday,"01:19 PM",,,13:19:17,"Missing Out-Punch"
100,Unknown,20-Dec-2025,Saturday,"05:40 PM",,,17:40:25,"Missing Out-Punch"
95,Unknown,04-Dec-2025,Thursday,"01:14 PM",,,13:14:37,"Missing Out-Punch"
95,Unknown,06-Dec-2025,Saturday,"01:55 PM",,,13:55:43,"Missing Out-Punch"
129,Unknown,04-Dec-2025,Thursday,"01:17 PM",,,13:17:25,"Missing Out-Punch"
129,Unknown,10-Dec-2025,Wednesday,"09:16 AM","01:03 PM",03:47,"09:16:15, 13:03:20",Present
129,Unknown,13-Dec-2025,Saturday,"09:30 AM",,,09:30:32,"Missing Out-Punch"
129,Unknown,16-Dec-2025,Tuesday,"01:03 PM",,,13:03:36,"Missing Out-Punch"
129,Unknown,18-Dec-2025,Thursday,"01:08 PM",,,13:08:12,"Missing Out-Punch"
91,Unknown,04-Dec-2025,Thursday,"01:19 PM",,,13:19:02,"Missing Out-Punch"
91,Unknown,06-Dec-2025,Saturday,"04:13 PM",,,16:13:37,"Missing Out-Punch"
91,Unknown,16-Dec-2025,Tuesday,"12:56 PM",,,12:56:55,"Missing Out-Punch"
91,Unknown,18-Dec-2025,Thursday,"12:31 PM",,,12:31:51,"Missing Out-Punch"
91,Unknown,20-Dec-2025,Saturday,"06:13 PM",,,18:13:25,"Missing Out-Punch"
109,Unknown,04-Dec-2025,Thursday,"01:21 PM",,,13:21:15,"Missing Out-Punch"
